t,(Var=C2) C2,(Var=CP) CP,(Var=CT) CT,(Var=EmptySet) EmptySet,(Var=J_Reaction1) J_Reaction1,(Var=J_Reaction2) J_Reaction2,(Var=J_Reaction3) J_Reaction3,(Var=J_Reaction4) J_Reaction4,(Var=J_Reaction5) J_Reaction5,(Var=J_Reaction6) J_Reaction6,(Var=J_Reaction7) J_Reaction7,(Var=J_Reaction8) J_Reaction8,(Var=J_Reaction9) J_Reaction9,(Var=M) M,(Var=pM) pM,(Var=Y) Y,(Var=YP) YP
620,902,901747.703196677,1000000,0,91095.0332515776,902000000,902000000,15007.0628626305,0,15000,0,95033.7431611688,9456.2939055819,91095.0332515776,6255.4248294457,83.2109846769,158389.571935281
620,925,925386.139798426,1000000,0,64800.6583540469,925000000,925000000,15004.3883065491,0,15000,0,91291.5532919956,6877.7199366785,64800.6583540469,8887.7509567594,81.0709587125,152152.588819993
621,947,947446.159334363,1000000,0,36450.8638393981,947000000,947000000,15001.8053696034,0,15000,0,77528.2551937126,3897.383646259,36450.8638393981,15155.4942374361,79.1696985723,129213.758656188
622,956,956365.481825669,1000000,0,17202.9134934949,956000000,956000000,15000.1870723734,0,15000,0,56683.105510768,1815.5997585331,17202.9134934949,25475.2219982819,78.422879942,94471.8425179466
623,954,953951.125937053,1000000,0,8190.5663853541,954000000,954000000,14999.4425363987,0,15000,0,38904.3079302669,1109.9118571242,8190.5663853541,36904.3483542802,78.6174581096,64840.5132171115
623,946,946305.556230686,1000000,0,4124.7455545657,946000000,946000000,14999.0916976772,0,15000,0,25772.1268704834,1024.1269437204,4124.7455545657,48623.3885229056,79.2507853247,42953.5447841389
624,936,936355.759423341,1000000,0,2398.7433859091,936000000,936000000,14998.9240376056,0,15000,0,16786.718864626,1148.0275563265,2398.7433859091,60309.139019994,80.0920157037,27977.8647743767
625,924,924351.70462132,1000000,0,1714.1159880713,924000000,924000000,14998.8355000166,0,15000,0,10478.0283996608,1352.7899281314,1714.1159880713,73009.8259585991,81.131648403,17463.3806661014
626,907,907488.202985011,1000000,0,1587.3941076452,907000000,907000000,14998.7800953038,0,15000,0,5767.1907910208,1661.1331919586,1587.3941076452,90016.9131035672,82.6389811238,9611.9846517013
628,891,890704.130406698,1000000,0,1777.4045383154,891000000,891000000,14998.7515682329,0,15000,0,3599.3502663012,1979.9335439836,1777.4045383154,106627.759133967,84.1960369117,5998.917110502
